method,culture,prompt_language,seed,model_pair,edge_distance
iterative,us,english,1,gpt-4.1 vs gpt-4.1-nano,0.16040816326530613
iterative,us,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.13428571428571429
iterative,us,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.17020408163265305
iterative,india,english,0,gpt-4.1 vs gpt-4.1-mini,0.08040816326530613
iterative,india,english,1,gpt-4.1 vs gpt-4.1-mini,0.09551020408163265
iterative,india,english,0,gpt-4.1 vs gpt-4.1-nano,0.1310204081632653
iterative,india,english,1,gpt-4.1 vs gpt-4.1-nano,0.17224489795918368
iterative,india,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.13795918367346938
iterative,india,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.16244897959183674
iterative,japan,english,0,gpt-4.1 vs gpt-4.1-mini,0.07306122448979592
iterative,japan,english,1,gpt-4.1 vs gpt-4.1-mini,0.12
iterative,japan,english,0,gpt-4.1 vs gpt-4.1-nano,0.13306122448979593
iterative,japan,english,1,gpt-4.1 vs gpt-4.1-nano,0.1742857142857143
iterative,japan,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.13755102040816328
iterative,japan,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.18571428571428572
iterative,brazil,english,0,gpt-4.1 vs gpt-4.1-mini,0.07918367346938776
iterative,brazil,english,1,gpt-4.1 vs gpt-4.1-mini,0.0963265306122449
iterative,brazil,english,0,gpt-4.1 vs gpt-4.1-nano,0.13918367346938776
iterative,brazil,english,1,gpt-4.1 vs gpt-4.1-nano,0.17183673469387756
iterative,brazil,english,0,gpt-4.1-mini vs gpt-4.1-nano,0.12775510204081633
iterative,brazil,english,1,gpt-4.1-mini vs gpt-4.1-nano,0.17183673469387756
